Site,Date,Transect,Quadrat,Hemigrapsus nudus (S),Hemigrapsus nudus (M),Hemigrapsus nudus (L),Hemigrapsus oregonensis (S),Hemigrapsus oregonensis (M),Hemigrapsus oregonensis (L),Cancer antennarius (S),Cancer antennarius (M),Cancer antennarius (L),Pachycheles rudis (Large),Pachycheles rudis (Large),Pachycheles rudis (Large),Pachygrapsus crassipes (small),Pachygrapsus crassipes (medium),Pachygrapsus crassipes (large),Leptasterias hexaxis (Small),Leptasterias hexaxis (Small),Leptasterias hexaxis (Small),Lophopanopeus bellus,Lophopanopeus bellus,Lophopanopeus bellus,Petrolisthes mannimaculis (Small),Petrolisthes manimaculis (Medium),Petrolisthes manimaculis (Large),Gobiesox maeandricus (small),Gobiesox maeandricus (medium),Gobiesox maeandricus (large),Anoplarchus purpurescens (S),Anoplarchus purpurescens (M),Anoplarchus purpurescens (L),Xiphister atropurpurescens (S),Xiphister atropurpurescens (M),Xiphister atropurpurescens (L),Kelp Crab (small),Kelp Crab (medium,Kelp Crab (Large),Urchin (small),Urchin (medium),Urchin (Large),Brittle Star (M),Cancer productis (small),Cancer productis (medium),Cancer productis (large),Sculpin (small),Sculpin (medium), Sculpin (large)
PC,6/14/13,M,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC,6/14/13,M,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC,6/14/13,M,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC,6/14/13,M,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC,6/14/13,M,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC,6/14/13,M,6,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC,6/14/13,M,7,4,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC,6/14/13,M,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC,6/14/13,M,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC,6/14/13,M,10,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP,6/13/13,M,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP,6/13/13,M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP,6/13/13,M,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP,6/13/13,M,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
